차가, 45, 154
바라, 55, 180
파가, 68, 176
나타, 84, 167
아나, 74, 168
마사, 47, 183
카타, 69, 181
가바, 97, 154
라파, 97, 188
바가, 76, 153
아마, 85, 161
사사, 40, 178
타바, 81, 175
자카, 58, 145
파차, 66, 166
아사, 86, 169
사카, 98, 178
나파, 95, 151
아마, 48, 155
파라, 54, 195
바아, 57, 199
바사, 91, 150
바마, 41, 157
라아, 55, 140
라사, 52, 167
바자, 91, 143
나파, 52, 161
나사, 68, 179
가마, 57, 181
파라, 69, 150
라하, 83, 187
카나, 81, 151
아아, 70, 188
바자, 63, 151
파나, 63, 199
라아, 88, 159
바사, 94, 196
아타, 40, 150
다아, 86, 185
나라, 58, 181
나타, 52, 188
하다, 75, 193
사차, 63, 172
파다, 48, 191
다차, 99, 182
바가, 63, 194
하아, 57, 181
나마, 47, 199
라가, 48, 149
하하, 58, 198
나아, 83, 157
아타, 78, 176
가자, 40, 156
차아, 43, 189
나파, 44, 192
다아, 42, 180
카라, 48, 176
아차, 65, 166
사가, 71, 170
카아, 89, 175
나다, 72, 185
아자, 55, 193
마카, 70, 144
파차, 52, 177
타차, 86, 146
마아, 77, 141
파나, 51, 167
바아, 60, 181
마라, 75, 169
사가, 58, 170
차라, 48, 179
가사, 51, 198
다타, 57, 180
하하, 95, 188
가하, 99, 169
가나, 41, 165
자가, 59, 156
다차, 82, 155
타사, 47, 158
나가, 61, 179
차가, 43, 164
마자, 82, 190
차차, 90, 196
타하, 70, 148
나아, 84, 178
자다, 89, 193
가다, 89, 183
차타, 70, 147
하자, 60, 182
하바, 66, 170
라나, 40, 152
마라, 43, 144
자다, 71, 150
바카, 71, 190
차사, 81, 165
사아, 48, 192
차사, 47, 149
타다, 53, 197
자바, 86, 150
바가, 55, 157
라카, 88, 180
가하, 70, 175
마라, 78, 158
다사, 74, 167
가마, 92, 166
나파, 70, 186
타파, 62, 142
가타, 43, 196
다라, 82, 148
카차, 60, 157
파아, 59, 186
자라, 97, 160
가하, 90, 188
파나, 90, 186
하마, 95, 164
마자, 57, 167
타차, 62, 161
나자, 85, 181
사라, 79, 151
사카, 58, 162
차사, 59, 148
아차, 44, 143
바파, 85, 186
아차, 42, 167
하사, 63, 182
아바, 81, 152
다자, 75, 186
다사, 76, 177
타아, 62, 193
타다, 52, 151
다사, 79, 174
라가, 89, 184
아카, 54, 157
가다, 71, 140
나사, 65, 189
타마, 62, 194
카자, 77, 163
마카, 90, 149
다마, 81, 189
바나, 65, 189
나바, 73, 169
나자, 97, 143
라아, 80, 145
나파, 75, 195
차나, 56, 153
아라, 50, 165
마파, 58, 180
카라, 87, 185
하다, 87, 165
사바, 55, 146
다마, 43, 151
바카, 65, 192
사가, 97, 176
자아, 97, 168
하가, 88, 154
차사, 52, 186
사아, 84, 172
파라, 93, 153
차라, 61, 149
타다, 97, 140
라나, 72, 178
카마, 65, 169
가자, 94, 172
타나, 73, 189
차다, 52, 161
하파, 93, 157
다바, 72, 153
하자, 96, 191
카다, 74, 182
가마, 88, 178
가아, 43, 174
다마, 65, 159
나가, 87, 159
자아, 66, 144
아가, 40, 198
카아, 48, 176
나카, 86, 173
타자, 45, 196
자차, 73, 191
카아, 64, 146
타사, 43, 175
카사, 93, 142
타다, 93, 178
카마, 59, 159
카바, 88, 140
파파, 63, 173
아카, 53, 178
타타, 40, 198
가사, 84, 141
차하, 77, 162
다나, 47, 179
타다, 41, 186
바하, 97, 191
아타, 47, 178
자바, 90, 193
나라, 82, 162
아사, 88, 179
카나, 42, 181
사카, 55, 158
차라, 89, 146
가자, 46, 193
마다, 52, 141
나사, 74, 189
아차, 43, 176
마타, 61, 194
타바, 98, 176
다바, 50, 155
나다, 92, 157
가파, 71, 185
마마, 82, 141
하사, 55, 185
자다, 52, 175
사하, 95, 158
나타, 82, 174
타바, 73, 156
가카, 92, 168
자자, 79, 156
자나, 61, 191
카하, 86, 192
차마, 83, 173
바다, 85, 140
사자, 81, 198
아마, 91, 172
차자, 44, 148
타자, 90, 167
다자, 67, 146
하자, 41, 197
사타, 65, 158
차바, 52, 143
자나, 89, 184
가아, 82, 147
카타, 73, 194
하나, 47, 172
라가, 99, 155
자마, 54, 140
카사, 51, 178
카아, 44, 142
라나, 44, 156
사타, 69, 197
파나, 54, 184
라파, 61, 167
바사, 64, 196
자카, 91, 170
자다, 46, 156
카바, 87, 165
자사, 89, 158
카카, 66, 158
타가, 66, 183
하하, 52, 159
나마, 70, 141
타차, 56, 143
라차, 55, 163
나나, 55, 166
타타, 43, 189
사가, 89, 156
사타, 43, 195
사타, 48, 150
파바, 98, 181
타차, 86, 175
가아, 48, 188
다하, 43, 163
나차, 86, 197
라타, 68, 155
바차, 68, 189
파차, 48, 195
라자, 87, 177
자파, 49, 199
차바, 98, 171
파자, 58, 165
아타, 87, 161
바바, 68, 183
다하, 44, 141
바차, 87, 187
자카, 87, 153
바차, 85, 178
카자, 91, 149
다마, 62, 157
바차, 44, 171
하다, 50, 169
자카, 57, 189
타나, 66, 183
차파, 50, 172
차타, 52, 142
다라, 86, 157
라자, 85, 141
아자, 62, 175
아하, 62, 158
나아, 62, 198
파하, 58, 193
다사, 93, 162
아다, 69, 143
아차, 63, 148
가바, 59, 194
